# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	729
#@/user_id	253d3463-b37f-4227-8d21-72cdb331e133
a 	工	c=1 d=1 t=471
aa 	式	c=2 d=1.07317 t=1007
adm 	项	c=1 d=1 t=281
ae 	功	c=1 d=1 t=134
ah 	牙	c=1 d=1 t=712
ai 	东	c=1 d=1 t=532
aib 	范	c=3 d=2.92688 t=617
aj 	划	c=1 d=1 t=496
ajt 	蓝	c=1 d=1 t=711
amd 	英	c=6 d=3.06146 t=646
ar 	区	c=3 d=2.53164 t=739
av 	切	c=2 d=1.94649 t=459
b 	了	c=9 d=3.74324 t=786
bb 	子	c=1 d=1 t=969
bc 	取	c=2 d=1.5886 t=348
bib 	函	c=4 d=1.34106 t=515
biov 	函数	c=2 d=1.03354 t=710
bm 	出	c=3 d=2.00586 t=594
bn 	也	c=3 d=1.17544 t=1031
bnty 	皮	c=1 d=1 t=906
bv 	限	c=4 d=2.23989 t=328
bwg 	除	c=1 d=1 t=712
by 	及	c=1 d=1 t=232
c 	以	c=9 d=5.82373 t=569
cc 	双	c=3 d=2.244 t=561
ccc 	又	c=1 d=1 t=872
cd 	参	c=7 d=3.39629 t=573
ce 	能	c=4 d=2.70589 t=609
cf 	对	c=2 d=1.11025 t=693
cffy 	特	c=1 d=1 t=686
cn 	予	c=1 d=1 t=592
cq 	物	c=1 d=1 t=603
d 	在	c=6 d=2.39573 t=804
dbqe 	破解	c=1 d=1 t=582
dcg 	码	c=3 d=1.11015 t=664
dd 	大	c=4 d=1.98384 t=778
ddsv 	大概	c=1 d=1 t=1027
de 	历	c=1 d=1 t=569
dekr 	历史	c=2 d=1.99501 t=498
dgip 	感觉	c=3 d=1.2146 t=948
dgyt 	感谢	c=2 d=1.04689 t=621
dh 	还	c=8 d=2.90959 t=570
dhb 	存	c=3 d=1.97355 t=549
dhkf 	否	c=2 d=1.15724 t=402
dl 	面	c=7 d=2.85196 t=1034
dm 	而	c=1 d=1 t=539
dn 	成	c=2 d=1.86502 t=674
dndw 	尤其	c=1 d=1 t=102
dr 	原	c=1 d=1 t=612
druj 	愿意	c=1 d=1 t=637
dteg 	帮助	c=1 d=1 t=955
dw 	其	c=3 d=1.70537 t=719
dwe 	期	c=1 d=1 t=207
dy 	太	c=3 d=1.51834 t=994
e 	有	c=15 d=7.21442 t=571
eeq 	鹏	c=9 d=4.55439 t=898
efcb 	脚	c=5 d=2.36478 t=556
ek 	加	c=5 d=4.47647 t=378
en 	力	c=1 d=1 t=766
ep 	边	c=1 d=1 t=797
epc 	受	c=1 d=1 t=16
et 	用	c=14 d=2.51953 t=721
ew 	办	c=1 d=1 t=532
f 	地	c=2 d=1.74453 t=596
fam 	贲	c=1 d=1 t=606
fce 	动	c=6 d=4.32332 t=201
fd 	城	c=2 d=1.99501 t=515
fdh 	坏	c=1 d=1 t=628
fdm 	需	c=3 d=1.71931 t=888
fg 	十	c=2 d=1.03744 t=730
fgg 	二	c=1 d=1 t=729
fh 	直	c=4 d=2.56279 t=989
fhn 	起	c=1 d=1 t=567
fhu 	走	c=3 d=2.13855 t=1030
fhv 	超	c=1 d=1 t=598
fhw 	真	c=3 d=1.10973 t=706
fi 	示	c=1 d=1 t=453
fjp 	进	c=2 d=1.92774 t=272
fm 	南	c=2 d=1.93239 t=483
fnw 	块	c=1 d=1 t=528
fny 	专	c=4 d=2.92252 t=754
fp 	过	c=2 d=1.46767 t=841
fq 	无	c=4 d=1.18529 t=922
fqbq 	无聊	c=1 d=1 t=807
fqp 	远	c=5 d=2.97491 t=568
ft 	才	c=1 d=1 t=935
ftg 	考	c=1 d=1 t=37
ftj 	者	c=2 d=1.95123 t=435
ftjb 	都	c=5 d=3.03405 t=925
ftng 	坞	c=1 d=1 t=529
ftx 	老	c=2 d=1.93239 t=630
g 	一	c=26 d=4.48532 t=890
ga 	开	c=8 d=3.81192 t=1022
gb 	击	c=1 d=1 t=562
gc 	到	c=6 d=1.70488 t=965
gcf 	至	c=1 d=1 t=775
gd 	天	c=4 d=3.85515 t=696
ge 	表	c=1 d=1 t=452
gf 	于	c=2 d=1.06457 t=776
gg 	五	c=3 d=2.29484 t=126
gh 	下	c=12 d=4.23292 t=579
ghd 	正	c=1 d=1 t=937
gi 	求	c=2 d=1.0382 t=708
gj 	理	c=4 d=1.5822 t=656
gjr 	更	c=1 d=1 t=600
gkoa 	速度	c=1 d=1 t=58
gkp 	带	c=1 d=1 t=671
gl 	画	c=3 d=2.82807 t=696
gm 	现	c=1 d=1 t=742
gmf 	再	c=1 d=1 t=1037
gmww 	两	c=3 d=1.68183 t=796
gqg 	残	c=3 d=2.84467 t=967
gu 	来	c=3 d=1.29321 t=975
gud 	夹	c=2 d=1.3588 t=222
h 	上	c=9 d=2.87643 t=805
hag 	虐	c=1 d=1 t=771
hdip 	非常	c=2 d=1.51171 t=142
hhu 	卡	c=1 d=1 t=907
hjdl 	桌面	c=3 d=2.11096 t=525
hko 	点	c=5 d=1.92688 t=763
hx 	此	c=1 d=1 t=616
i 	不	c=15 d=4.80211 t=1002
idr 	源	c=1 d=1 t=515
ifc 	法	c=5 d=1.81996 t=586
igd 	添	c=2 d=1.86936 t=342
ih 	小	c=10 d=4.05555 t=727
ii 	水	c=1 d=1 t=747
iie 	消	c=1 d=1 t=412
ijx 	混	c=1 d=1 t=110
imj 	测	c=2 d=1.75578 t=492
imya 	测试	c=1 d=1 t=493
inr 	汤	c=2 d=1.96079 t=155
ipb 	学	c=2 d=1.00878 t=963
ipk 	常	c=2 d=1.72979 t=105
iptj 	觉得	c=2 d=1.99501 t=21
iqt 	淘	c=1 d=1 t=572
is 	浦	c=1 d=1 t=604
it 	少	c=2 d=1.02436 t=970
itp 	泛	c=4 d=1.34106 t=514
iv 	当	c=3 d=1.26866 t=519
ivs 	染	c=1 d=1 t=585
iw 	没	c=4 d=1.90115 t=838
iygg 	注	c=1 d=1 t=584
j 	是	c=31 d=7.28312 t=954
jb 	最	c=4 d=3.0034 t=562
je 	明	c=1 d=1 t=659
jf 	时	c=1 d=1 t=304
jfd 	里	c=1 d=1 t=690
jfwh 	时候	c=4 d=3.09399 t=582
jg 	量	c=1 d=1 t=590
jje 	日	c=2 d=1.09348 t=515
jtg 	星	c=1 d=1 t=517
jvko 	照	c=1 d=1 t=799
jykt 	影响	c=1 d=1 t=190
k 	中	c=13 d=2.60388 t=982
kb 	啊	c=1 d=1 t=812
kc 	吧	c=1 d=1 t=556
kcg 	吗	c=2 d=1.99501 t=549
kej 	别	c=1 d=1 t=670
kg 	号	c=4 d=2.36957 t=700
khv 	跟	c=2 d=1.08374 t=1014
kkd 	器	c=2 d=1.0293 t=715
kkh 	串	c=2 d=1.956 t=595
km 	员	c=2 d=1.90937 t=193
kngb 	哪	c=3 d=2.898 t=97
knx 	呢	c=1 d=1 t=577
kw 	只	c=1 d=1 t=813
kwfk 	啥	c=2 d=1.57407 t=738
kwyg 	唯	c=3 d=1.09964 t=664
lfo 	黑	c=1 d=1 t=699
lfod 	默	c=1 d=1 t=462
